source,target,type,label,weight
"user_57","movie_304","rated",69,5,1.0000
"user_57","movie_419","rated",152,3,0.6000
"user_57","movie_79","rated",1067,5,1.0000
"user_57","movie_682","rated",1578,3,0.6000
"user_57","movie_243","rated",1824,3,0.6000
"user_57","movie_760","rated",1972,2,0.4000
"user_57","movie_28","rated",2013,4,0.8000
"user_57","movie_204","rated",2144,4,0.8000
"user_57","movie_1047","rated",2224,4,0.8000
"user_57","movie_756","rated",2256,3,0.6000
"user_57","movie_926","rated",2510,3,0.6000
"user_57","movie_831","rated",2872,1,0.2000
"user_57","movie_409","rated",2997,4,0.8000
"user_57","movie_864","rated",3610,3,0.6000
"user_57","movie_250","rated",3732,3,0.6000
"user_57","movie_744","rated",3793,5,1.0000
"user_57","movie_588","rated",4138,4,0.8000
"user_57","movie_1059","rated",4528,3,0.6000
"user_57","movie_825","rated",4529,1,0.2000
"user_57","movie_294","rated",4655,4,0.8000
"user_57","movie_252","rated",4830,2,0.4000
"user_57","movie_282","rated",5205,5,1.0000
"user_57","movie_1093","rated",5500,3,0.6000
"user_57","movie_56","rated",5632,3,0.6000
"user_57","movie_866","rated",6414,3,0.6000
"user_57","movie_410","rated",6571,3,0.6000
"user_57","movie_1028","rated",7008,3,0.6000
"user_57","movie_1094","rated",7769,2,0.4000
"user_57","movie_173","rated",7948,5,1.0000
"user_57","movie_237","rated",8198,4,0.8000
"user_57","movie_7","rated",8277,4,0.8000
"user_57","movie_248","rated",8788,5,1.0000
"user_57","movie_975","rated",9391,3,0.6000
"user_57","movie_844","rated",10398,2,0.4000
"user_57","movie_1071","rated",10932,3,0.6000
"user_57","movie_411","rated",10978,4,0.8000
"user_57","movie_151","rated",11964,3,0.6000
"user_57","movie_1011","rated",12109,3,0.6000
"user_57","movie_476","rated",12427,3,0.6000
"user_57","movie_1095","rated",12689,2,0.4000
"user_57","movie_264","rated",13150,2,0.4000
"user_57","movie_100","rated",13533,5,1.0000
"user_57","movie_281","rated",14071,4,0.8000
"user_57","movie_225","rated",14673,3,0.6000
"user_57","movie_271","rated",15069,3,0.6000
"user_57","movie_222","rated",15560,5,1.0000
"user_57","movie_597","rated",15968,3,0.6000
"user_57","movie_199","rated",15975,5,1.0000
"user_434","movie_1060","rated",16539,3,0.6000
"user_434","movie_815","rated",16926,4,0.8000
"user_57","movie_456","rated",17568,3,0.6000
"user_57","movie_932","rated",17803,3,0.6000
"user_57","movie_321","rated",18094,4,0.8000
"user_451","movie_289","rated",18300,1,0.2000
"user_451","movie_269","rated",18579,2,0.4000
"user_451","movie_323","rated",18715,4,0.8000
"user_451","movie_882","rated",18756,1,0.2000
"user_451","movie_294","rated",19362,5,1.0000
"user_451","movie_300","rated",19526,4,0.8000
"user_451","movie_872","rated",19601,2,0.4000
"user_57","movie_298","rated",19627,3,0.6000
"user_434","movie_406","rated",19877,3,0.6000
"user_451","movie_360","rated",20182,3,0.6000
"user_57","movie_111","rated",20567,4,0.8000
"user_451","movie_243","rated",21613,4,0.8000
"user_434","movie_369","rated",21743,4,0.8000
"user_451","movie_262","rated",22050,1,0.2000
"user_451","movie_322","rated",22220,4,0.8000
"user_451","movie_683","rated",22472,1,0.2000
"user_451","movie_264","rated",22623,3,0.6000
"user_451","movie_319","rated",22729,2,0.4000
"user_451","movie_1392","rated",22782,1,0.2000
"user_451","movie_331","rated",22888,5,1.0000
"user_451","movie_260","rated",22970,5,1.0000
"user_451","movie_875","rated",23026,2,0.4000
"user_434","movie_546","rated",23071,5,1.0000
"user_434","movie_121","rated",23444,4,0.8000
"user_57","movie_245","rated",23542,4,0.8000
"user_57","movie_125","rated",23687,3,0.6000
"user_434","movie_275","rated",23755,3,0.6000
"user_451","movie_457","rated",24080,2,0.4000
"user_434","movie_220","rated",24118,5,1.0000
"user_451","movie_984","rated",24171,4,0.8000
"user_451","movie_682","rated",24230,4,0.8000
"user_434","movie_125","rated",24302,5,1.0000
"user_57","movie_833","rated",24421,4,0.8000
"user_451","movie_303","rated",24945,2,0.4000
"user_451","movie_749","rated",25136,3,0.6000
"user_451","movie_1393","rated",25640,2,0.4000
"user_451","movie_270","rated",25719,4,0.8000
"user_57","movie_11","rated",25820,3,0.6000
"user_451","movie_332","rated",25936,4,0.8000
"user_57","movie_64","rated",25966,5,1.0000
"user_451","movie_1296","rated",26034,3,0.6000
"user_434","movie_756","rated",26117,2,0.4000
"user_57","movie_763","rated",26325,5,1.0000
"user_451","movie_292","rated",27439,3,0.6000
"user_434","movie_1051","rated",27682,3,0.6000
"user_434","movie_1095","rated",27707,5,1.0000
"user_451","movie_1025","rated",27804,3,0.6000
"user_57","movie_24","rated",27864,3,0.6000
"user_451","movie_937","rated",28393,4,0.8000
"user_451","movie_299","rated",28402,1,0.2000
"user_57","movie_249","rated",28733,5,1.0000
"user_57","movie_318","rated",29203,5,1.0000
"user_451","movie_995","rated",29772,1,0.2000
"user_550","movie_259","rated",30069,2,0.4000
"user_57","movie_126","rated",30080,3,0.6000
"user_550","movie_405","rated",30187,4,0.8000
"user_57","movie_748","rated",30363,4,0.8000
"user_57","movie_1096","rated",30555,3,0.6000
"user_434","movie_833","rated",30562,4,0.8000
"user_434","movie_844","rated",30674,3,0.6000
"user_434","movie_763","rated",30716,5,1.0000
"user_451","movie_242","rated",30837,1,0.2000
"user_550","movie_892","rated",30946,2,0.4000
"user_451","movie_308","rated",31066,1,0.2000
"user_451","movie_690","rated",31217,4,0.8000
"user_57","movie_820","rated",31235,3,0.6000
"user_451","movie_336","rated",31399,4,0.8000
"user_434","movie_1152","rated",31537,5,1.0000
"user_550","movie_255","rated",31555,3,0.6000
"user_434","movie_147","rated",31696,3,0.6000
"user_57","movie_109","rated",31870,4,0.8000
"user_57","movie_871","rated",32024,3,0.6000
"user_57","movie_284","rated",32475,3,0.6000
"user_550","movie_323","rated",32499,5,1.0000
"user_57","movie_181","rated",32710,5,1.0000
"user_434","movie_237","rated",32827,5,1.0000
"user_451","movie_881","rated",32991,4,0.8000
"user_580","movie_825","rated",33009,4,0.8000
"user_550","movie_993","rated",33045,4,0.8000
"user_57","movie_405","rated",33051,4,0.8000
"user_434","movie_148","rated",33335,3,0.6000
"user_451","movie_687","rated",33381,2,0.4000
"user_451","movie_688","rated",33513,1,0.2000
"user_550","movie_300","rated",33520,4,0.8000
"user_434","movie_9","rated",33547,1,0.2000
"user_580","movie_7","rated",33860,3,0.6000
"user_57","movie_710","rated",33901,3,0.6000
"user_451","movie_1394","rated",33974,1,0.2000
"user_57","movie_826","rated",34193,2,0.4000
"user_451","movie_1026","rated",34289,1,0.2000
"user_580","movie_148","rated",34412,4,0.8000
"user_434","movie_347","rated",34730,1,0.2000
"user_550","movie_254","rated",35048,1,0.2000
"user_57","movie_546","rated",35154,4,0.8000
"user_550","movie_846","rated",35335,2,0.4000
"user_580","movie_358","rated",35342,4,0.8000
"user_580","movie_300","rated",35406,3,0.6000
"user_451","movie_337","rated",35412,2,0.4000
"user_451","movie_883","rated",35425,1,0.2000
"user_57","movie_1073","rated",35884,3,0.6000
"user_580","movie_329","rated",36176,3,0.6000
"user_57","movie_295","rated",36299,5,1.0000
"user_451","movie_288","rated",36367,5,1.0000
"user_57","movie_105","rated",36430,3,0.6000
"user_580","movie_1028","rated",36499,3,0.6000
"user_57","movie_8","rated",37737,4,0.8000
"user_451","movie_263","rated",37908,2,0.4000
"user_550","movie_538","rated",38113,5,1.0000
"user_580","movie_294","rated",38116,4,0.8000
"user_550","movie_310","rated",38130,5,1.0000
"user_580","movie_123","rated",38188,4,0.8000
"user_451","movie_989","rated",38234,1,0.2000
"user_57","movie_42","rated",38311,5,1.0000
"user_550","movie_304","rated",38402,3,0.6000
"user_57","movie_472","rated",38652,1,0.2000
"user_580","movie_281","rated",39114,2,0.4000
"user_451","movie_301","rated",40231,4,0.8000
"user_434","movie_819","rated",40434,3,0.6000
"user_451","movie_680","rated",40778,1,0.2000
"user_550","movie_125","rated",41098,4,0.8000
"user_451","movie_333","rated",41975,5,1.0000
"user_451","movie_880","rated",42494,1,0.2000
"user_550","movie_50","rated",42880,5,1.0000
"user_451","movie_286","rated",42966,1,0.2000
"user_580","movie_471","rated",42975,3,0.6000
"user_580","movie_405","rated",43055,2,0.4000
"user_57","movie_496","rated",43098,4,0.8000
"user_550","movie_748","rated",43143,4,0.8000
"user_451","movie_259","rated",43253,4,0.8000
"user_580","movie_546","rated",43578,1,0.2000
"user_434","movie_7","rated",43915,1,0.2000
"user_550","movie_288","rated",44287,5,1.0000
"user_550","movie_121","rated",44602,5,1.0000
"user_57","movie_288","rated",45165,4,0.8000
"user_550","movie_301","rated",45183,2,0.4000
"user_57","movie_240","rated",45331,2,0.4000
"user_580","movie_181","rated",45553,5,1.0000
"user_451","movie_877","rated",45712,4,0.8000
"user_57","movie_678","rated",46790,3,0.6000
"user_550","movie_328","rated",47190,5,1.0000
"user_451","movie_1265","rated",48073,4,0.8000
"user_451","movie_328","rated",48198,5,1.0000
"user_550","movie_1620","rated",48320,4,0.8000
"user_580","movie_289","rated",48476,5,1.0000
"user_57","movie_473","rated",48839,3,0.6000
"user_451","movie_268","rated",48865,2,0.4000
"user_451","movie_1022","rated",49306,4,0.8000
"user_550","movie_688","rated",49512,3,0.6000
"user_57","movie_258","rated",49981,5,1.0000
"user_580","movie_252","rated",50792,5,1.0000
"user_580","movie_100","rated",50979,3,0.6000
"user_434","movie_471","rated",51478,2,0.4000
"user_580","movie_455","rated",51785,4,0.8000
"user_451","movie_329","rated",51990,4,0.8000
"user_451","movie_305","rated",52191,3,0.6000
"user_434","movie_975","rated",52363,5,1.0000
"user_434","movie_477","rated",52523,5,1.0000
"user_451","movie_359","rated",52650,2,0.4000
"user_451","movie_938","rated",52871,4,0.8000
"user_580","movie_687","rated",53038,3,0.6000
"user_434","movie_111","rated",53240,5,1.0000
"user_57","movie_471","rated",53678,4,0.8000
"user_57","movie_1001","rated",54569,1,0.2000
"user_550","movie_877","rated",54746,4,0.8000
"user_434","movie_743","rated",54885,1,0.2000
"user_451","movie_884","rated",54930,1,0.2000
"user_580","movie_250","rated",55098,5,1.0000
"user_580","movie_1014","rated",55313,3,0.6000
"user_451","movie_879","rated",55390,4,0.8000
"user_550","movie_252","rated",55823,1,0.2000
"user_434","movie_928","rated",56103,5,1.0000
"user_451","movie_991","rated",56119,2,0.4000
"user_580","movie_249","rated",56307,5,1.0000
"user_451","movie_325","rated",56360,3,0.6000
"user_580","movie_323","rated",56560,2,0.4000
"user_57","movie_475","rated",56653,2,0.4000
"user_580","movie_222","rated",57046,3,0.6000
"user_434","movie_274","rated",57156,5,1.0000
"user_550","movie_294","rated",57237,3,0.6000
"user_451","movie_1280","rated",57940,1,0.2000
"user_580","movie_258","rated",58324,5,1.0000
"user_434","movie_151","rated",58827,5,1.0000
"user_434","movie_283","rated",59081,3,0.6000
"user_434","movie_628","rated",59247,1,0.2000
"user_434","movie_287","rated",59265,5,1.0000
"user_580","movie_871","rated",60764,4,0.8000
"user_550","movie_924","rated",60778,4,0.8000
"user_57","movie_930","rated",60899,2,0.4000
"user_451","movie_874","rated",61024,4,0.8000
"user_451","movie_307","rated",61064,4,0.8000
"user_57","movie_194","rated",61083,4,0.8000
"user_434","movie_225","rated",61565,4,0.8000
"user_580","movie_748","rated",61726,2,0.4000
"user_580","movie_15","rated",62303,3,0.6000
"user_451","movie_327","rated",62851,4,0.8000
"user_57","movie_117","rated",62980,4,0.8000
"user_451","movie_330","rated",63260,3,0.6000
"user_580","movie_348","rated",63721,3,0.6000
"user_580","movie_1","rated",63993,3,0.6000
"user_434","movie_476","rated",64676,4,0.8000
"user_434","movie_288","rated",64677,5,1.0000
"user_451","movie_1395","rated",64778,1,0.2000
"user_451","movie_681","rated",65130,1,0.2000
"user_57","movie_845","rated",66239,4,0.8000
"user_550","movie_1","rated",67855,3,0.6000
"user_451","movie_335","rated",67878,4,0.8000
"user_580","movie_147","rated",67898,3,0.6000
"user_451","movie_334","rated",68914,3,0.6000
"user_434","movie_974","rated",69059,5,1.0000
"user_451","movie_326","rated",69663,4,0.8000
"user_580","movie_597","rated",70061,1,0.2000
"user_550","movie_181","rated",70489,5,1.0000
"user_451","movie_886","rated",70549,4,0.8000
"user_580","movie_343","rated",70585,5,1.0000
"user_580","movie_125","rated",70803,3,0.6000
"user_580","movie_271","rated",71976,5,1.0000
"user_451","movie_678","rated",72069,5,1.0000
"user_434","movie_15","rated",72535,3,0.6000
"user_451","movie_988","rated",72639,1,0.2000
"user_550","movie_313","rated",72739,5,1.0000
"user_451","movie_261","rated",73188,2,0.4000
"user_451","movie_878","rated",73239,1,0.2000
"user_580","movie_866","rated",73574,4,0.8000
"user_57","movie_988","rated",73630,4,0.8000
"user_57","movie_323","rated",73705,3,0.6000
"user_57","movie_477","rated",74355,4,0.8000
"user_550","movie_596","rated",74536,2,0.4000
"user_451","movie_302","rated",74574,3,0.6000
"user_550","movie_222","rated",75114,4,0.8000
"user_451","movie_306","rated",75262,2,0.4000
"user_434","movie_118","rated",75384,5,1.0000
"user_57","movie_15","rated",75794,4,0.8000
"user_580","movie_286","rated",75918,4,0.8000
"user_57","movie_50","rated",75930,5,1.0000
"user_550","movie_271","rated",76533,5,1.0000
"user_580","movie_50","rated",76780,5,1.0000
"user_580","movie_619","rated",77361,3,0.6000
"user_57","movie_195","rated",77643,3,0.6000
"user_451","movie_304","rated",78163,3,0.6000
"user_550","movie_237","rated",78379,3,0.6000
"user_580","movie_151","rated",78487,2,0.4000
"user_57","movie_1016","rated",78632,4,0.8000
"user_580","movie_121","rated",79734,4,0.8000
"user_580","movie_282","rated",79943,5,1.0000
"user_451","movie_324","rated",80228,4,0.8000
"user_580","movie_288","rated",80875,5,1.0000
"user_451","movie_358","rated",81367,1,0.2000
"user_451","movie_1295","rated",81823,2,0.4000
"user_451","movie_948","rated",82308,3,0.6000
"user_550","movie_1089","rated",84023,3,0.6000
"user_57","movie_168","rated",84803,3,0.6000
"user_550","movie_15","rated",85724,5,1.0000
"user_550","movie_249","rated",86963,4,0.8000
"user_434","movie_411","rated",87652,5,1.0000
"user_57","movie_1","rated",88029,5,1.0000
"user_550","movie_682","rated",88139,4,0.8000
"user_550","movie_258","rated",88221,5,1.0000
"user_580","movie_25","rated",88310,3,0.6000
"user_451","movie_887","rated",88661,1,0.2000
"user_580","movie_829","rated",88829,2,0.4000
"user_451","movie_873","rated",89122,5,1.0000
"user_57","movie_257","rated",89258,5,1.0000
"user_451","movie_1038","rated",89755,1,0.2000
"user_451","movie_748","rated",92215,4,0.8000
"user_57","movie_717","rated",92408,4,0.8000
"user_451","movie_258","rated",92919,4,0.8000
"user_550","movie_275","rated",92970,4,0.8000
"user_451","movie_321","rated",93540,3,0.6000
"user_580","movie_3","rated",93831,5,1.0000
"user_451","movie_885","rated",94164,1,0.2000
"user_451","movie_990","rated",95897,3,0.6000
"user_434","movie_424","rated",96092,1,0.2000
"user_451","movie_245","rated",96175,2,0.4000
"user_550","movie_257","rated",96312,4,0.8000
"user_434","movie_1","rated",96367,4,0.8000
"user_451","movie_266","rated",97317,2,0.4000
"user_434","movie_1197","rated",97590,5,1.0000
"user_57","movie_144","rated",97972,3,0.6000
"user_550","movie_243","rated",98629,2,0.4000
"user_580","movie_257","rated",99482,5,1.0000
"user_57","movie_121","rated",99514,4,0.8000
"user_451","movie_876","rated",99722,4,0.8000
"user_57","movie_304","rated",100069,5,1.0000
"user_57","movie_419","rated",100152,3,0.6000
